Age|Gender|Ankle_stance_even|Ankle_swing_even|Knee_stance_even|Knee_swing_even|Ankle_stance_uneven|Ankle_swing_uneven|Knee_stance_uneven|Knee_swing_uneven
Old|Male|45.5002462285|23.5120454623|72.6946791027|56.6254787606|44.8946945519|25.7714849049|61.2055110806|37.0370911274
Old|Female|66.8932100454|27.3257081504|65.8758478272|68.6915657068|64.200337294|28.4637634739|56.2325115837|63.6344020177
Old|Male|42.5774854667|53.4492972395|48.0711210361|48.9682956226|39.9009977956|45.502417265|46.8220976115|34.4344320784
Old|Female|54.8116667407|48.4633093873|53.9449406611|43.7365940334|65.1825888664|58.6569771126|55.9301507252|50.6851038746
Old|Female|51.9356700758|60.7401493265|58.3951886952|55.8538521355|55.5867495436|62.8037281489|59.5972343507|65.8010310076
Old|Female|46.4527702078|48.4307326767|56.5127474915|53.8926472277|54.7791589781|55.521750963|50.5855204915|46.682220457
Old|Male|30.3083525012|39.7865600422|44.4753062534|38.4440617286|39.2224229233|50.4097102118|48.5012807392|40.1449481009
Old|Male|19.1957579896|17.8374298711|39.3919485093|51.0620842728|27.7521218882|19.8570752456|47.9445494226|55.1675387734
Old|Male|24.497708312|56.0771031772|58.7720820822|27.9266310541|24.631322854|64.9106328595|52.0434218865|21.9660004022
Old|Male|27.4172158005|64.6668207876|54.5465459139|40.8034229322|30.0485041922|54.9225076706|65.2016266321|42.5861825987
Old|Male|24.6841762613|16.0280178287|63.1135678949|52.771590742|23.7011571899|24.723831264|62.6547608542|54.0983526417
Old|Female|33.3011448951|38.9573157031|52.3424641398|57.2757543401|47.1720405602|67.3966569889|49.0891201375|60.0997883205
Old|Female|55.450827805|55.8886583819|57.3711879454|65.3587303114|54.2342509696|64.3725904503|57.1286809623|63.2374402188
Old|Female|67.8090721957|50.0033160055|45.6124243147|62.7179160174|61.7379314056|48.553363626|51.4784590681|55.559286934
Old|Female|44.445778414|41.2373343688|68.4237689482|54.7187213058|57.6363408516|57.798392196|63.8179333341|61.3872900331
Young|Male|66.888788171|45.6611693516|67.3900424573|51.0907783942|59.361092336|45.1267565306|62.7916815975|52.9332249852
Young|Male|50.4600257314|42.0859790372|32.5602264133|26.6999081984|53.5970272719|52.3136968912|51.0721134879|24.5134567537
Young|Male|40.2497663238|40.7073479685|34.1519615845|44.8800830456|48.5744084101|33.3580689036|29.8408019772|42.4616398239
Young|Male|42.195421855|37.0775081541|42.990617891|35.7463950013|43.144728717|32.1451145288|36.5443999247|43.3828245784
Young|Male|40.454779694|30.8467455396|58.4980375073|35.9867903246|35.7197836727|22.4612382922|53.4734386742|39.3130854778
Young|Female|66.1278149319|34.7187724635|48.5792762823|52.1003972987|62.3775875819|38.3942658382|54.4854532642|31.839931894
Young|Female|37.3885129006|30.0562381398|43.5803152128|40.9544144426|46.1385880185|39.6043518785|46.3905323603|42.3292252005
Young|Female|56.6986812637|40.1131410457|56.6299406663|50.9792074753|49.9095080561|33.9682087948|62.7671010421|45.3051829041
Young|Female|51.9904176477|28.1154662467|58.4038949558|45.8421911211|62.7123964165|26.5258132229|58.9501620066|47.1172280715
Young|Female|42.427987967|61.9545919948|64.057206075|30.9675321108|43.5436265213|67.3297117738|61.989208359|34.7384362152
Young|Female|68.1209790407|47.0176516467|69.039331157|38.2789723815|66.5627152974|45.7360260839|68.5002870901|46.1081091851
Young|Female|39.5921780702|26.8068121766|68.5421284657|47.2557717791|35.9604690284|26.3612831632|58.9793469579|47.2251230073
Young|Female|21.9447991587|12.6331706719|63.3666167591|30.8671889708|26.0808669474|21.3084597515|62.3997866396|33.3537569282
