"","State","state_code","region","governor","psychRegions","extraversion","agreeableness","conscientiousness","neuroticism","openness","instagram","facebook","retweet","entrepreneur","gdpr","privacy","university","mortgage","volunteering","museum","scrapbook","modernDance"
"1","Alabama","AL","South","Republican","Friendly and Conventional",55.5,52.7,55.5,48.7,42.7,0.64,1.646,0.35,0.257,-0.769,0.583,1.74,1.408,-1.493,-1.105,0.055,-1.274
"2","Arizona","AZ","West","Republican","Relaxed and Creative",50.6,46.6,58.4,38.1,54.7,0.183,-0.259,-0.566,0.562,-0.306,-0.452,-0.771,1.011,0.96,-0.128,0.344,0.406
"3","Arkansas","AR","South","Republican","Friendly and Conventional",49.9,52.7,41,56.2,40.3,0.456,1.104,-0.598,0.245,-0.595,0.689,0.024,-0.663,-1.191,-0.954,0.845,-1.444
"4","California","CA","West","Democrat","Relaxed and Creative",51.4,49,43.2,39.1,65,1.467,-0.422,0.481,0.502,1.123,0.231,-1.915,-0.881,0.566,0.05,-0.689,0.375
"5","Colorado","CO","West","Democrat","Friendly and Conventional",45.3,47.5,58.8,34.3,57.9,-1.035,-1.064,-0.902,0.023,0.588,-0.215,-0.444,1.491,1.006,0.723,-0.335,-0.293
"6","Connecticut","CT","Northeast","Democrat","Temperamental and Uninhibited",57.6,38.6,34.2,53.4,53.9,0.374,-0.982,1.145,0.069,0.712,0.362,0.37,0.476,1.275,1.181,-0.805,0.553
"7","Delaware","DE","South","Democrat","Temperamental and Uninhibited",47,38.8,36.5,62.4,42.7,1.483,-1.123,1.188,2.547,1.213,0.904,2.188,1.66,1.371,0.701,-0.726,-0.22
"8","Florida","FL","South","Republican","Friendly and Conventional",60.9,50.7,62.7,40.8,61,0.85,0.38,-0.23,0.783,-0.231,-0.137,-1.121,0.111,0.456,-0.738,-0.63,-0.494
"9","Georgia","GA","South","Republican","Friendly and Conventional",63.2,60,68.8,38,56.9,0.807,0.526,0.035,1.947,0.403,-0.398,-0.24,0.188,-0.943,-0.747,-0.659,-0.803
"10","Idaho","ID","West","Republican","Relaxed and Creative",40.7,52.9,44.5,44.2,44.7,-0.736,-0.269,-1.802,0.296,-0.174,0.075,-0.044,0.638,-0.297,-1.423,1.391,0.095
"11","Illinois","IL","Midwest","Republican","Friendly and Conventional",62.5,48.3,50.9,51.2,55.2,-0.201,-0.109,0.348,-0.083,0.8,-0.689,0.313,-0.421,0.196,0.873,-0.488,-0.46
"12","Indiana","IN","Midwest","Republican","Friendly and Conventional",48.9,50.2,56.2,59.3,44.9,-0.296,-0.011,1.132,0.983,-0.455,0.436,0.929,0.058,0.343,0.122,0.483,-0.317
"13","Iowa","IA","Midwest","Republican","Friendly and Conventional",62.8,56.6,52.2,49.1,33.7,-0.9,0.459,0.345,0.268,-0.224,-0.435,1.849,-0.7,0.516,-0.669,0.851,-0.96
"14","Kansas","KS","Midwest","Republican","Friendly and Conventional",45.5,48.9,50.8,49,40.1,-0.388,0.913,0.088,0.016,-0.252,-1.024,-0.217,-1.913,-1.143,-0.796,0.574,-1.091
"15","Kentucky","KY","South","Republican","Friendly and Conventional",53.4,48.1,51.3,62.5,43,-0.221,1.122,0.325,-0.647,-0.746,-0.346,1.232,-0.708,-1.288,-0.282,0.422,-0.122
"16","Louisiana","LA","South","Democrat","Friendly and Conventional",52.2,49.7,45,60.4,53.7,1.521,0.114,-0.087,0.044,-1.186,-1.023,-0.738,-0.111,-1.8,-0.691,-0.003,0.004
"17","Maine","ME","Northeast","Republican","Temperamental and Uninhibited",44.2,32.8,24,71,50.8,-0.893,1.46,-0.817,-1.797,0.294,-0.334,-0.543,0.141,0.877,1.17,-0.415,0.447
"18","Maryland","MD","South","Republican","Temperamental and Uninhibited",35.2,37.3,37.5,49.4,56.6,0.895,-1.468,1.56,1.172,0.603,2.87,1.4,1.887,1.312,0.942,-0.728,1.931
"19","Massachusetts","MA","Northeast","Republican","Temperamental and Uninhibited",44.4,40.7,32.2,63.8,59.6,-0.135,-1.336,1.793,0.18,2.24,0.49,-0.39,0.51,1.186,2.213,-1.327,0.728
"20","Michigan","MI","Midwest","Republican","Friendly and Conventional",55.2,54.7,53,48.6,43.4,-0.102,0.626,0.378,0.249,-0.195,-0.289,0.604,-0.228,0.609,-0.491,0.307,-0.614
"21","Minnesota","MN","Midwest","Democrat","Friendly and Conventional",52.9,61.6,52.5,43.4,38.5,-1.158,-0.881,0.007,-0.614,0.824,-0.143,-0.103,1.089,2.113,-0.051,0.34,-0.52
